流水号,平台用户编号,金额
268103232549028906,105396,17.18
268103232549028907,107897,151.10
268103232549028908,108797,297.22
268103232549028909,101958,12629.98
268103232549028910,101038,292.82
268103232549028911,101964,880.24
268103232549028912,102806,332.43
268103232549028913,102812,255.39
268103232549028914,10198,111.84
268103232549028915,101049,0.70
268103232549028916,104563,2256.10
268103232549028917,108818,24.38
268103232549028918,104564,92.92
268103232549028919,103603,129.22
268103232549028920,10282,525.41
268103232549028921,104566,39.93
268103232549028922,108826,25243.96
268103232549028923,102827,10360.00
268103232549028924,107935,1.39
268103232549028925,101996,462.26
268103232549028926,108831,84.54
268103232549028927,104586,18044.83
268103232549028928,10284,850.24
268103232549028929,104587,67.99
268103232549028930,105426,69.89
268103232549028931,108841,26.24
268103232549028932,108845,368.89
268103232549028933,107012,679.02
268103232549028934,107951,0.16
268103232549028935,1046,33.77
268103232549028936,105434,187.15
268103232549028937,103685,13.88
268103232549028938,108858,49.47
268103232549028939,10201,372.70
268103232549028940,107018,23298.02
268103232549028941,104607,27.44
268103232549028942,108861,4.17
268103232549028943,107962,441.79
268103232549028944,107963,33339.00
268103232557417478,107965,133.26
268103232557417479,106092,49.59
268103232557417480,10797,699.96
268103232557417481,108871,125.51
268103232557417482,102863,146.85
268103232557417483,102864,834.50
268103232557417484,101149,2394.72
268103232557417485,107025,110.07
268103232557417486,101150,103.56
268103232557417487,102028,474.59
268103232557417488,107972,2039.92
268103232557417489,103712,8.46
268103232557417490,10203,169972.03
268103232557417491,107028,2882.54
268103232557417492,107978,53.34
268103232557417493,107980,355.60
268103232557417494,102879,100467.79
268103232557417495,106102,0.32
268103232557417496,103735,195.63
268103232557417497,101169,310.05
268103232557417498,104646,217.83
268103232557417499,101173,309.91
268103232557417500,102886,3.07
268103232557417501,102887,33.75
268103232557417502,104655,39618.76
268103232557417503,104659,31530.31
268103232557417504,108935,192.27
268103232557417505,10206,602.95
268103232557417506,10378,11387.62
268103232557417507,106120,267.81
268103232557417508,101192,1425.44
268103232557417509,107053,0.22
268103232557417510,101204,135.96
268103232557417511,10896,775507.44
268103232557417512,104685,95.88
268103232557417513,101206,9.88
268103232557417514,108018,318.44
268103232557417515,108990,190128.36
268103232557417516,108991,610.08
268103232557417517,1090,2037.79
268103232557417518,10901,1048.44
268103232557417519,110483,0.91
268103232557417520,10902,236.95
268103232557417521,110486,230.76
268103232557417522,111321,11.44
268103232557417523,117883,13.30
268103232557417524,116621,1848.32
268103232557417525,113726,548.74
268103232557417526,109776,5008.14
268103232557417527,116625,240.65
268103232557417528,110490,41.24
